"human_gene_id"	"mouse_gene_id"	"human_symbol"	"mouse_symbol"	"orthology_source"
"ENSG00000012817"	"ENSMUSG00000056673"	"KDM5D"	"Kdm5d"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165837"	"ENSMUSG00000022002"	"ERICH6B"	"Erich6b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000152192"	"ENSMUSG00000048349"	"POU4F1"	"Pou4f1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182968"	"ENSMUSG00000096014"	"SOX1"	"Sox1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000204442"	"ENSMUSG00000079157"	"NALF1"	"Nalf1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000222791"	"ENSMUSG00000119396"	"RNU6-67P"	"Gm24168"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283785"	"ENSMUSG00000093007"	"MIR15A"	"Mir15a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175820"	"ENSMUSG00000091844"	"LRTM3"	"Ccdc168"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000201793"	"ENSMUSG00002076809"	"RN7SKP9"	"Gm54754"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000178235"	"ENSMUSG00000075478"	"SLITRK1"	"Slitrk1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000223280"	"ENSMUSG00000118769"	"RNU6-57P"	"Gm23148"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000199767"	"ENSMUSG00000065031"	"RNU6-78P"	"Gm22364"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000123171"	"ENSMUSG00000017049"	"CCDC70"	"Ccdc70"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000178695"	"ENSMUSG00000098557"	"KCTD12"	"Kctd12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125255"	"ENSMUSG00000023073"	"SLC10A2"	"Slc10a2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139800"	"ENSMUSG00000041703"	"ZIC5"	"Zic5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000169840"	"ENSMUSG00000053129"	"GSX1"	"Gsx1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000212293"	"ENSMUSG00000065266"	""	"Gm23454"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207298"	"ENSMUSG00002076599"	"RNU6-83P"	"Gm54753"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000186009"	"ENSMUSG00000031449"	"ATP4B"	"Atp4b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000201155"	"ENSMUSG00002074995"	"RNU1-24P"	"Gm56205"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180332"	"ENSMUSG00000046523"	"KCTD4"	"Kctd4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165566"	"ENSMUSG00000021986"	"AMER2"	"Amer2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102794"	"ENSMUSG00000022126"	"ACOD1"	"Acod1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183098"	"ENSMUSG00000058571"	"GPC6"	"Gpc6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000154646"	"ENSMUSG00000022857"	"TMPRSS15"	"Tmprss15"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125285"	"ENSMUSG00000061517"	"SOX21"	"Sox21"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156282"	"ENSMUSG00000055811"	"CLDN17"	"Cldn17"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188694"	"ENSMUSG00000050239"	"KRTAP24-1"	"Krtap24-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156284"	"ENSMUSG00000050520"	"CLDN8"	"Cldn8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139797"	"ENSMUSG00000036537"	"RNF113B"	"Rnf113a1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283199"	"ENSMUSG00000031452"	"C13orf46"	"1700029H14Rik"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000274662"	"ENSMUSG00002076261"	"RN7SKP236"	"Gm54838"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000200792"	"ENSMUSG00002075119"	"SNORA80A"	"Gm54688"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000226792"	"ENSMUSG00000100486"	"C13orf42"	"Gm4131"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207500"	"ENSMUSG00000077185"	"SNORD102"	"Gm25091"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207051"	"ENSMUSG00000077564"	"SNORA27"	"Gm23202"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000252247"	"ENSMUSG00000088644"	"RNU6-70P"	"Gm26485"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160181"	"ENSMUSG00000024028"	"TFF2"	"Tff2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000266692"	"ENSMUSG00000093443"	""	"Gm22871"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000264452"	"ENSMUSG00000093784"	""	"Gm22394"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184221"	"ENSMUSG00000046160"	"OLIG1"	"Olig1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183640"	"ENSMUSG00000059632"	"KRTAP8-1"	"Krtap8-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000274749"	"ENSMUSG00000056706"	"KRTAP7-1"	"Krtap7-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182591"	"ENSMUSG00000091212"	"KRTAP11-1"	"Krtap11-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000197683"	"ENSMUSG00000071471"	"KRTAP26-1"	"Krtap26-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206107"	"ENSMUSG00000090515"	"KRTAP27-1"	"Krtap27-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000186970"	"ENSMUSG00000022931"	"KRTAP15-1"	"Krtap15-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207638"	"ENSMUSG00000065530"	"MIR99A"	"Mir99a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000199030"	"ENSMUSG00000065557"	"MIRLET7C"	"Mirlet7c-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206802"	"ENSMUSG00000089399"	"RNU6-926P"	"Gm23312"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000288593"	"ENSMUSG00000118646"	""	"Gm56820"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000286224"	"ENSMUSG00000117965"	""	"Gm56118"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166603"	"ENSMUSG00000047259"	"MC4R"	"Mc4r"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000251994"	"ENSMUSG00002076687"	"RNU2-27P"	"Gm56370"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206944"	"ENSMUSG00002076720"	"RNU6-708P"	"Gm55397"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206746"	"ENSMUSG00000089296"	"RNU6-142P"	"Gm23205"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207072"	"ENSMUSG00000064472"	"RNU6-39P"	"Gm23407"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000201825"	"ENSMUSG00000089422"	"RNU6-1131P"	"Gm26008"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000200472"	"ENSMUSG00002075732"	"RN7SKP44"	"Gm54392"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206602"	"ENSMUSG00000064647"	"SNORD58A"	"Gm23301"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000119547"	"ENSMUSG00000045991"	"ONECUT2"	"Onecut2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284440"	"ENSMUSG00000065402"	"MIR122"	"Mir122"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000252284"	"ENSMUSG00000065280"	"SNORA108"	"Gm24453"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000221139"	"ENSMUSG00000080607"	""	"Gm23839"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206072"	"ENSMUSG00000026327"	"SERPINB11"	"Serpinb11"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206043"	"ENSMUSG00000117781"	"C18orf63"	"Gm17266"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166634"	"ENSMUSG00000059956"	"SERPINB12"	"Serpinb12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000177143"	"ENSMUSG00000050996"	"CETN1"	"Cetn1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206422"	"ENSMUSG00000073375"	"LRRC30"	"Lrrc30"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176136"	"ENSMUSG00000007480"	"MC5R"	"Mc5r"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283927"	"ENSMUSG00000065399"	"MIR133A1"	"Mir133a-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284453"	"ENSMUSG00000106348"	"MIR1-2"	"Mir1a-2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000242550"	"ENSMUSG00000092572"	"SERPINB10"	"Serpinb10"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000255112"	"ENSMUSG00000109901"	"CHMP1B"	"Chmp1b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207278"	"ENSMUSG00000065625"	"RNU6-831P"	"Gm24765"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000252928"	"ENSMUSG00002075892"	"RNU6-64P"	"Gm55985"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000199366"	"ENSMUSG00000064527"	"Y_RNA"	"Gm26438"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000250878"	"ENSMUSG00000046828"	"METTL21EP"	"Mettl21e"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000222018"	"ENSMUSG00000051728"	"C21orf140"	"Fam243"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000243627"	"ENSMUSG00000116967"	"SMIM34"	"Smim34"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284536"	"ENSMUSG00000065508"	"MIR17"	"Mir17"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283815"	"ENSMUSG00000065403"	"MIR18A"	"Mir18"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284204"	"ENSMUSG00000065416"	"MIR19A"	"Mir19a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283762"	"ENSMUSG00000065442"	"MIR20A"	"Mir20a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284375"	"ENSMUSG00000076256"	"MIR19B1"	"Mir19b-1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000222320"	"ENSMUSG00000087804"	"RNU6-1050P"	"Gm23434"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000283904"	"ENSMUSG00000065397"	"MIR155"	"Mir155"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000202398"	"ENSMUSG00000077163"	"RNU6-61P"	"Gm24116"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000136160"	"ENSMUSG00000022122"	"EDNRB"	"Ednrb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000043355"	"ENSMUSG00000061524"	"ZIC2"	"Zic2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000083635"	"ENSMUSG00000022009"	"NUFIP1"	"Nufip1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000197381"	"ENSMUSG00000020262"	"ADARB1"	"Adarb1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000132964"	"ENSMUSG00000029635"	"CDK8"	"Cdk8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139687"	"ENSMUSG00000022105"	"RB1"	"Rb1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125245"	"ENSMUSG00000050350"	"GPR18"	"Gpr18"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156299"	"ENSMUSG00000002489"	"TIAM1"	"Tiam1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102760"	"ENSMUSG00000022018"	"RGCC"	"Rgcc"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000126231"	"ENSMUSG00000031445"	"PROZ"	"Proz"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000174032"	"ENSMUSG00000022003"	"SLC25A30"	"Slc25a30"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160208"	"ENSMUSG00000058392"	"RRP1B"	"Rrp1b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000133115"	"ENSMUSG00000027744"	"STOML3"	"Stoml3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000068650"	"ENSMUSG00000031441"	"ATP11A"	"Atp11a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000243646"	"ENSMUSG00000022969"	"IL10RB"	"Il10rb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000136098"	"ENSMUSG00000031478"	"NEK3"	"Nek3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000159110"	"ENSMUSG00000022971"	"IFNAR2"	"Ifnar2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156304"	"ENSMUSG00000022983"	"SCAF4"	"Scaf4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180776"	"ENSMUSG00000021969"	"ZDHHC20"	"Zdhhc20"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180440"	"ENSMUSG00000056306"	"SERTM1"	"Sertm1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000152213"	"ENSMUSG00000043157"	"ARL11"	"Arl11"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000120686"	"ENSMUSG00000027746"	"UFM1"	"Ufm1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165487"	"ENSMUSG00000021973"	"MICU2"	"Micu2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188342"	"ENSMUSG00000067995"	"GTF2F2"	"Gtf2f2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000133105"	"ENSMUSG00000053368"	"RXFP2"	"Rxfp2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000120669"	"ENSMUSG00000027794"	"SOHLH2"	"Sohlh2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000157617"	"ENSMUSG00000045975"	"C2CD2"	"C2cd2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102786"	"ENSMUSG00000035161"	"INTS6"	"Ints6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160224"	"ENSMUSG00000000731"	"AIRE"	"Aire"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000159261"	"ENSMUSG00000047109"	"CLDN14"	"Cldn14"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000142166"	"ENSMUSG00000022967"	"IFNAR1"	"Ifnar1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000152767"	"ENSMUSG00000025555"	"FARP1"	"Farp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160298"	"ENSMUSG00000009114"	"C21orf58"	"2610028H24Rik"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183778"	"ENSMUSG00000074892"	"B3GALT5"	"B3galt5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000154723"	"ENSMUSG00000022890"	"ATP5PF"	"Atp5pf"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102699"	"ENSMUSG00000054509"	"PARP4"	"Parp4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182670"	"ENSMUSG00000040785"	"TTC3"	"Ttc3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184497"	"ENSMUSG00000038457"	"TMEM255B"	"Tmem255b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000142182"	"ENSMUSG00000000730"	"DNMT3L"	"Dnmt3l"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139668"	"ENSMUSG00000014547"	"WDFY2"	"Wdfy2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160282"	"ENSMUSG00000001155"	"FTCD"	"Ftcd"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198824"	"ENSMUSG00000047710"	"CHAMP1"	"Champ1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000136159"	"ENSMUSG00000033405"	"NUDT15"	"Nudt15"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000102802"	"ENSMUSG00000029659"	"MEDAG"	"Medag"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000136143"	"ENSMUSG00000022110"	"SUCLA2"	"Sucla2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185352"	"ENSMUSG00000053465"	"HS6ST3"	"Hs6st3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165475"	"ENSMUSG00000021947"	"CRYL1"	"Cryl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000136104"	"ENSMUSG00000021932"	"RNASEH2B"	"Rnaseh2b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160191"	"ENSMUSG00000041119"	"PDE9A"	"Pde9a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
